key,en,vi,ru,cn,jp,kr,in,de
"""Invite 100 friends to join M-SCI to receive 10 Piece ticket. Be the leader!""","""Invite 100 friends to join M-SCI to receive 10 Piece ticket. Be the leader!""","""Mời 100 người bạn tham gia M-SCI để nhận 10 vé Piece. Hãy trở thành người dẫn đầu!""","""Пригласите 100 друзей в M-SCI, чтобы получить 10 билетов. Станьте лидером!""","""邀请100位朋友加入M-SCI，获得10张碎片券。成为领导者！""","""100人の友達をM-SCIに招待して10枚のチケットを獲得。リーダーになりましょう！""","""M-SCI에 100명의 친구를 초대하여 10장의 조각 티켓을 받으세요. 리더가 되세요!""","""M-SCI में शामिल होने के लिए 100 दोस्तों को आमंत्रित करें और 10 टिकट प्राप्त करें। नेता बनें!""","""Laden Sie 100 Freunde ein, M-SCI beizutreten, um 10 Stück-Tickets zu erhalten. Werden Sie zum Leader!"""
"""Social Champion""","""Social Champion""","""Vô địch thiên hạ""","""Социальный чемпион""","""社交冠军""","""ソーシャルチャンピオン""","""소셜 챔피언""","""सामाजिक चैंपियन""","""Sozialer Champion"""
"""Invite 200 friends to join M-SCI to receive 20 Piece ticket. Build a strong community!""","""Invite 200 friends to join M-SCI to receive 20 Piece ticket. Build a strong community!""","""Mời 200 người bạn tham gia M-SCI để nhận 20 vé Piece. Xây dựng một cộng đồng vững mạnh!""","""Пригласите 200 друзей в M-SCI, чтобы получить 20 билетов. Создайте сильное сообщество!""","""邀请200位朋友加入M-SCI，获得20张碎片券。建立一个强大的社区！""","""200人の友達をM-SCIに招待して20枚のチケットを獲得。強力なコミュニティを作り上げよう！""","""M-SCI에 200명의 친구를 초대하여 20장의 조각 티켓을 받으세요. 강력한 커뮤니티를 구축하세요!""","""M-SCI में शामिल होने के लिए 200 दोस्तों को आमंत्रित करें और 20 टिकट प्राप्त करें। एक मजबूत समुदाय बनाएं!""","""Laden Sie 200 Freunde ein, M-SCI beizutreten, um 20 Stück-Tickets zu erhalten. Bauen Sie eine starke Gemeinschaft auf!"""
"""Community Legend""","""Community Legend""","""Huyền thoại tin đồn""","""Легенда сообщества""","""社区传奇""","""コミュニティレジェンド""","""커뮤니티 전설""","""समुदाय की लीजेंड""","""Gemeindelegende"""
"""Invite 500 friends to join M-SCI to receive 50 Piece ticket. Become a legend in the community!""","""Invite 500 friends to join M-SCI to receive 50 Piece ticket. Become a legend in the community!""","""Mời 500 người bạn tham gia M-SCI để nhận 50 vé Piece. Trở thành huyền thoại trong cộng đồng!""","""Пригласите 500 друзей в M-SCI, чтобы получить 50 билетов. Станьте легендой в сообществе!""","""邀请500位朋友加入M-SCI，获得50张碎片券。成为社区中的传奇！""","""500人の友達をM-SCIに招待して50枚のチケットを獲得。コミュニティ内で伝説になりましょう！""","""M-SCI에 500명의 친구를 초대하여 50장의 조각 티켓을 받으세요. 커뮤니티에서 전설이 되세요!""","""M-SCI में शामिल होने के लिए 500 दोस्तों को आमंत्रित करें और 50 टिकट प्राप्त करें। समुदाय में एक लीजेंड बनें!""","""Laden Sie 500 Freunde ein, M-SCI beizutreten, um 50 Stück-Tickets zu erhalten. Werden Sie zur Legende in der Gemeinschaft!"""
"""Ultimate Influencer""","""Ultimate Influencer""","""Ảnh hưởng tối thượng""","""Абсолютный влиятель""","""终极影响者""","""究極のインフルエンサー""","""궁극의 인플루언서""","""अंतिम प्रभावक""","""Ultimativer Influencer"""
"""Invite 1000 friends to join M-SCI to receive 100 Piece ticket. Reach the pinnacle of influence""","""Invite 1000 friends to join M-SCI to receive 100 Piece ticket. Reach the pinnacle of influence""","""Mời 1000 người bạn tham gia M-SCI để nhận 100 vé Piece. Chạm đến đỉnh cao ảnh hưởng!""","""Пригласите 1000 друзей в M-SCI, чтобы получить 100 билетов. Достигните вершины влияния!""","""邀请1000位朋友加入M-SCI，获得100张碎片券。达到影响力的巅峰！""","""1000人の友達をM-SCIに招待して100枚のチケットを獲得。影響力の頂点に到達しましょう！""","""M-SCI에 1000명의 친구를 초대하여 100장의 조각 티켓을 받으세요. 영향력의 정점에 도달하세요!""","""M-SCI में शामिल होने के लिए 1000 दोस्तों को आमंत्रित करें और 100 टिकट प्राप्त करें। प्रभाव के शिखर तक पहुंचें!""","""Laden Sie 1000 Freunde ein, M-SCI beizutreten, um 100 Stück-Tickets zu erhalten. Erreichen Sie die Spitze des Einflusses!"""
"""Claim""","""Claim""","""Nhận""","""Получить""","""领取""","""受け取る""","""받기""","""दावा करें""","""Einsammeln"""
"""Stage""","""Stage""","""Vượt ải""","""Этап""","""关卡""","""ステージ""","""스테이지""","""मंच""","""Stufe"""
"""Power""","""Power""","""Sức mạnh""","""Сила""","""力量""","""パワー""","""파워""","""शक्ति""","""Stärke"""
"""Stage 5 Milestone""","""Stage 5 Milestone""","""Cột mốc Giai đoạn 5""","""Этап 5: Веха""","""第5阶段里程碑""","""ステージ5のマイルストーン""","""5단계 이정표""","""चरण 5 माइलस्टोन""","""Stufe 5 Meilenstein"""
"""Complete stage 5 to receive Henry Box, Marcus Box, David Box and 10,000 Chip""","""Complete stage 5 to receive Henry Box, Marcus Box, David Box and 10,000 Chip""","""Hoàn thành giai đoạn 5 để nhận Hộp Henry, Hộp Marcus, Hộp David và 10.000 Chip""","""Завершите этап 5, чтобы получить коробку Генри, коробку Маркуса, коробку Дэвида и 10 000 фишек""","""完成第5阶段以获得亨利盒子、马库斯盒子、大卫盒子和10,000筹码""","""ステージ5を完了してヘンリーボックス、マルクスボックス、デイビッドボックス、10,000チップを受け取る""","""5단계를 완료하여 헨리 상자, 마커스 상자, 데이비드 상자 및 10,000 칩을 받으세요""","""चरण 5 पूरा करें और हेनरी बॉक्स, मार्कस बॉक्स, डेविड बॉक्स और 10,000 चिप प्राप्त करें""","""Abschluss von Stufe 5, um Henry-Box, Marcus-Box, David-Box und 10.000 Chips zu erhalten"""
"""Stage 10 Milestone""","""Stage 10 Milestone""","""Cột mốc Giai đoạn 10""","""Этап 10: Веха""","""第10阶段里程碑""","""ステージ10のマイルストーン""","""10단계 이정표""","""चरण 10 माइलस्टोन""","""Stufe 10 Meilenstein"""
"""Complete stage 10 to receive Hero C Box, 10,000 Chip and 1 Hero Gacha Ticket""","""Complete stage 10 to receive Hero C Box, 10,000 Chip and 1 Hero Gacha Ticket""","""Hoàn thành giai đoạn 10 để nhận Hộp Hero C, 10.000 Chip và 1 Vé Gacha Hero""","""Завершите этап 10, чтобы получить коробку Героя C, 10 000 фишек и 1 билет на гачу Героя""","""完成第10阶段以获得英雄C宝箱、10,000筹码和1张英雄扭蛋券""","""ステージ10を完了してヒーローCボックス、10,000チップ、ヒーローガチャチケット1枚を受け取る""","""10단계를 완료하여 영웅 C 상자, 10,000 칩 및 영웅 가챠 티켓 1장을 받으세요""","""चरण 10 पूरा करें और हीरो सी बॉक्स, 10,000 चिप और 1 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 10, um Helden-C-Box, 10.000 Chips und 1 Helden-Gacha-Ticket zu erhalten"""
"""Stage 15 Milestone""","""Stage 15 Milestone""","""Cột mốc Giai đoạn 15""","""Этап 15: Веха""","""第15阶段里程碑""","""ステージ15のマイルストーン""","""15단계 이정표""","""चरण 15 माइलस्टोन""","""Stufe 15 Meilenstein"""
"""Complete stage 15 to receive Hero C Box, 5 MSCI Memory and 5 Blind Bag""","""Complete stage 15 to receive Hero C Box, 5 MSCI Memory and 5 Blind Bag""","""Hoàn thành giai đoạn 15 để nhận Hộp Hero C, 5 Thẻ nhớ MSCI và 5 Túi mù""","""Завершите этап 15, чтобы получить коробку Героя C, 5 памяти MSCI и 5 слепых мешков""","""完成第15阶段以获得英雄C宝箱、5个MSCI记忆卡和5个盲袋""","""ステージ15を完了してヒーローCボックス、MSCIメモリーカード5個、ブラインドバッグ5個を受け取る""","""15단계를 완료하여 영웅 C 상자, MSCI 메모리 카드 5개 및 블라인드 백 5개를 받으세요""","""चरण 15 पूरा करें और हीरो सी बॉक्स, 5 एमएससीआई मेमोरी कार्ड और 5 ब्लाइंड बैग प्राप्त करें""","""Abschluss von Stufe 15, um Helden-C-Box, 5 MSCI-Speicherkarten und 5 Blind Bags zu erhalten"""
"""Stage 20 Milestone""","""Stage 20 Milestone""","""Cột mốc Giai đoạn 20""","""Этап 20: Веха""","""第20阶段里程碑""","""ステージ20のマイルストーン""","""20단계 이정표""","""चरण 20 माइлस्टोन""","""Stufe 20 Meilenstein"""
"""Complete stage 20 to receive 10 MSCI Memory, Hero C Box, 5 Blind Bag and 2 Hero Gacha Ticket""","""Complete stage 20 to receive 10 MSCI Memory, Hero C Box, 5 Blind Bag and 2 Hero Gacha Ticket""","""Hoàn thành giai đoạn 20 để nhận 10 Thẻ nhớ MSCI, Hộp Hero C, 5 Túi mù và 2 Vé Gacha Hero""","""Завершите этап 20, чтобы получить 10 памяти MSCI, коробку Героя C, 5 слепых мешков и 2 билета на гачу Героя""","""完成第20阶段以获得10个MSCI记忆卡、英雄C宝箱、5个盲袋和2张英雄扭蛋券""","""ステージ20を完了してMSCIメモリーカード10個、ヒーローCボックス、ブラインドバッグ5個、ヒーローガチャチケット2枚を受け取る""","""20단계를 완료하여 MSCI 메모리 카드 10개, 영웅 C 상자, 블라인드 백 5개 및 영웅 가챠 티켓 2장을 받으세요""","""चरण 20 पूरा करें और 10 एमएससीआई मेमोरी कार्ड, हीरो सी बॉक्स, 5 ब्लाइंड बैग और 2 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 20, um 10 MSCI-Speicherkarten, Helden-C-Box, 5 Blind Bags und 2 Helden-Gacha-Tickets zu erhalten"""
"""Stage 25 Milestone""","""Stage 25 Milestone""","""Cột mốc Giai đoạn 25""","""Этап 25: Веха""","""第25阶段里程碑""","""ステージ25のマイルストーン""","""25단계 이정표""","""चरण 25 माइлस्टोन""","""Stufe 25 Meilenstein"""
"""Complete stage 25 to receive Anna 1 Star level 1, 10 DOGE Shield, 5 DOGE Energy and 5 Blind Bag""","""Complete stage 25 to receive Anna 1 Star level 1, 10 DOGE Shield, 5 DOGE Energy and 5 Blind Bag""","""Hoàn thành giai đoạn 25 để nhận Anna 1 Sao cấp 1, 10 Lá chắn DOGE, 5 Năng lượng DOGE và 5 Túi mù""","""Завершите этап 25, чтобы получить Анну 1 звезду 1 уровня, 10 Щитов DOGE, 5 Энергии DOGE и 5 слепых мешков""","""完成第25阶段以获得安娜1星1级、10个DOGE护盾、5个DOGE能量和5个盲袋""","""ステージ25を完了してアンナ1スターレベル1、DOGEシールド10個、DOGEエネルギー5個、ブラインドバッグ5個を受け取る""","""25단계를 완료하여 안나 1성 레벨 1, DOGE 실드 10개, DOGE 에너지 5개 및 블라인드 백 5개를 받으세요""","""चरण 25 पूरा करें और अन्ना 1 स्टार स्तर 1, 10 DOGE शील्ड, 5 DOGE एनर्जी और 5 ब्लाइंड बैग प्राप्त करें""","""Abschluss von Stufe 25, um Anna 1 Stern Level 1, 10 DOGE-Schilde, 5 DOGE-Energie und 5 Blind Bags zu erhalten"""
"""Stage 30 Milestone""","""Stage 30 Milestone""","""Cột mốc Giai đoạn 30""","""Этап 30: Веха""","""第30阶段里程碑""","""ステージ30のマイルストーン""","""30단계 이정표""","""चरण 30 माइлस्टोन""","""Stufe 30 Meilenstein"""
"""Complete stage 30 to receive Anna 2 Star level 1, 10,000 Chip, 10 MSCI Memory, 5 Blind Bag and 3 Hero Gacha Ticket""","""Complete stage 30 to receive Anna 2 Star level 1, 10,000 Chip, 10 MSCI Memory, 5 Blind Bag and 3 Hero Gacha Ticket""","""Hoàn thành giai đoạn 30 để nhận Anna 2 Sao cấp 1, 10.000 Chip, 10 Thẻ nhớ MSCI, 5 Túi mù và 3 Vé Gacha Hero""","""Завершите этап 30, чтобы получить Анну 2 звезды 1 уровня, 10 000 фишек, 10 памяти MSCI, 5 слепых мешков и 3 билета на гачу Героя""","""完成第30阶段以获得安娜2星1级、10,000筹码、10个MSCI记忆卡、5个盲袋和3张英雄扭蛋券""","""ステージ30を完了してアンナ2スターレベル1、10,000チップ、MSCIメモリーカード10個、ブラインドバッグ5個、ヒーローガチャチケット3枚を受け取る""","""30단계를 완료하여 안나 2성 레벨 1, 10,000 칩, MSCI 메모리 카드 10개, 블라인드 백 5개 및 영웅 가챠 티켓 3장을 받으세요""","""चरण 30 पूरा करें और अन्ना 2 स्टार स्तर 1, 10,000 चिप, 10 एमएससीआई मेमोरी कार्ड, 5 ब्लाइंड बैग और 3 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 30, um Anna 2 Stern Level 1, 10.000 Chips, 10 MSCI-Speicherkarten, 5 Blind Bags und 3 Helden-Gacha-Tickets zu erhalten"""
"""Stage 35 Milestone""","""Stage 35 Milestone""","""Cột mốc Giai đoạn 35""","""Этап 35: Веха""","""第35阶段里程碑""","""ステージ35のマイルストーン""","""35단계 이정표""","""चरण 35 माइлस्टोन""","""Stufe 35 Meilenstein"""
"""Complete stage 35 to receive Anna 3 Star level 1, 10,000 Chip, 10 MSCI Memory and 5 Blind Bag""","""Complete stage 35 to receive Anna 3 Star level 1, 10,000 Chip, 10 MSCI Memory and 5 Blind Bag""","""Hoàn thành giai đoạn 35 để nhận Anna 3 Sao cấp 1, 10.000 Chip, 10 Thẻ nhớ MSCI và 5 Túi mù""","""Завершите этап 35, чтобы получить Анну 3 звезды 1 уровня, 10 000 фишек, 10 памяти MSCI и 5 слепых мешков""","""完成第35阶段以获得安娜3星1级、10,000筹码、10个MSCI记忆卡和5个盲袋""","""ステージ35を完了してアンナ3スターレベル1、10,000チップ、MSCIメモリーカード10個、ブラインドバッグ5個を受け取る""","""35단계를 완료하여 안나 3성 레벨 1, 10,000 칩, MSCI 메모리 카드 10개 및 블라인드 백 5개를 받으세요""","""चरण 35 पूरा करें और अन्ना 3 स्टार स्तर 1, 10,000 चिप, 10 एमएससीआई मेमोरी कार्ड और 5 ब्लाइंड बैग प्राप्त करें""","""Abschluss von Stufe 35, um Anna 3 Stern Level 1, 10.000 Chips, 10 MSCI-Speicherkarten und 5 Blind Bags zu erhalten"""
"""Stage 40 Milestone""","""Stage 40 Milestone""","""Cột mốc Giai đoạn 40""","""Этап 40: Веха""","""第40阶段里程碑""","""ステージ40のマイルストーン""","""40단계 이정표""","""चरण 40 माइлस्टोन""","""Stufe 40 Meilenstein"""
"""Complete stage 40 to receive Anna 4 Star level 1, 10,000 Chip, 10 MSCI Memory, 5 Blind Bag and 4 Hero Gacha Ticket""","""Complete stage 40 to receive Anna 4 Star level 1, 10,000 Chip, 10 MSCI Memory, 5 Blind Bag and 4 Hero Gacha Ticket""","""Hoàn thành giai đoạn 40 để nhận Anna 4 Sao cấp 1, 10.000 Chip, 10 Thẻ nhớ MSCI, 5 Túi mù và 4 Vé Gacha Hero""","""Завершите этап 40, чтобы получить Анну 4 звезды 1 уровня, 10 000 фишек, 10 памяти MSCI, 5 слепых мешков и 4 билета на гачу Героя""","""完成第40阶段以获得安娜4星1级、10,000筹码、10个MSCI记忆卡、5个盲袋和4张英雄扭蛋券""","""ステージ40を完了してアンナ4スターレベル1、10,000チップ、MSCIメモリーカード10個、ブラインドバッグ5個、ヒーローガチャチケット4枚を受け取る""","""40단계를 완료하여 안나 4성 레벨 1, 10,000 칩, MSCI 메모리 카드 10개, 블라인드 백 5개 및 영웅 가챠 티켓 4장을 받으세요""","""चरण 40 पूरा करें और अन्ना 4 स्टार स्तर 1, 10,000 चिप, 10 एमएससीआई मेमोरी कार्ड, 5 ब्लाइंड बैग और 4 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 40, um Anna 4 Stern Level 1, 10.000 Chips, 10 MSCI-Speicherkarten, 5 Blind Bags und 4 Helden-Gacha-Tickets zu erhalten"""
"""Stage 45 Milestone""","""Stage 45 Milestone""","""Cột mốc Giai đoạn 45""","""Этап 45: Веха""","""第45阶段里程碑""","""ステージ45のマイルストーン""","""45단계 이정표""","""चरण 45 माइלस्टोन""","""Stufe 45 Meilenstein"""
"""Complete stage 45 to receive Victorya 1 Star level 1, 20,000 Chip, 20 MSCI Memory and 10 Blind Bag""","""Complete stage 45 to receive Victorya 1 Star level 1, 20,000 Chip, 20 MSCI Memory and 10 Blind Bag""","""Hoàn thành giai đoạn 45 để nhận Victorya 1 Sao cấp 1, 20.000 Chip, 20 Thẻ nhớ MSCI và 10 Túi mù""","""Завершите этап 45, чтобы получить Викторию 1 звезду 1 уровня, 20 000 фишек, 20 памяти MSCI и 10 слепых мешков""","""完成第45阶段以获得Victorya 1星1级、20,000筹码、20个MSCI记忆卡和10个盲袋""","""ステージ45を完了してヴィクトリア1スターレベル1、20,000チップ、MSCIメモリーカード20個、ブラインドバッグ10個を受け取る""","""45단계를 완료하여 빅토리아 1성 레벨 1, 20,000 칩, MSCI 메모리 카드 20개 및 블라인드 백 10개를 받으세요""","""चरण 45 पूरा करें और विकटोरिया 1 स्टार स्तर 1, 20,000 चिप, 20 एमएससीआई मेमोरी कार्ड और 10 ब्लाइंड बैग प्राप्त करें""","""Abschluss von Stufe 45, um Victorya 1 Stern Level 1, 20.000 Chips, 20 MSCI-Speicherkarten und 10 Blind Bags zu erhalten"""
"""Stage 50 Milestone""","""Stage 50 Milestone""","""Cột mốc Giai đoạn 50""","""Этап 50: Веха""","""第50阶段里程碑""","""ステージ50のマイルストーン""","""50단계 이정표""","""चरण 50 माइлस्टोन""","""Stufe 50 Meilenstein"""
"""Complete stage 50 to receive Victorya 2 Star level 1, 20,000 Chip, 20 MSCI Memory, 10 Blind Bag and 5 Hero Gacha Ticket""","""Complete stage 50 to receive Victorya 2 Star level 1, 20,000 Chip, 20 MSCI Memory, 10 Blind Bag and 5 Hero Gacha Ticket""","""Hoàn thành giai đoạn 50 để nhận Victorya 2 Sao cấp 1, 20.000 Chip, 20 Thẻ nhớ MSCI, 10 Túi mù và 5 Vé Gacha Hero""","""Завершите этап 50, чтобы получить Викторию 2 звезды 1 уровня, 20 000 фишек, 20 памяти MSCI, 10 слепых мешков и 5 билетов на гачу Героя""","""完成第50阶段以获得Victorya 2星1级、20,000筹码、20个MSCI记忆卡、10个盲袋和5张英雄扭蛋券""","""ステージ50を完了してヴィクトリア2スターレベル1、20,000チップ、MSCIメモリーカード20個、ブラインドバッグ10個、ヒーローガチャチケット5枚を受け取る""","""50단계를 완료하여 빅토리아 2성 레벨 1, 20,000 칩, MSCI 메모리 카드 20개, 블라인드 백 10개 및 영웅 가챠 티켓 5장을 받으세요""","""चरण 50 पूरा करें और विकटोरिया 2 स्टार स्तर 1, 20,000 चिप, 20 एमएससीआई मेमोरी कार्ड, 10 ब्लाइंड बैग और 5 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 50, um Victorya 2 Stern Level 1, 20.000 Chips, 20 MSCI-Speicherkarten, 10 Blind Bags und 5 Helden-Gacha-Tickets zu erhalten"""
"""Stage 55 Milestone""","""Stage 55 Milestone""","""Cột mốc Giai đoạn 55""","""Этап 55: Веха""","""第55阶段里程碑""","""ステージ55のマイルストーン""","""55단계 이정표""","""चरण 55 माइलस्टोन""","""Stufe 55 Meilenstein"""
"""Complete stage 55 to receive Victorya 3 Star level 1, 20,000 Chip, 20 MSCI Memory and 10 Blind Bag""","""Complete stage 55 to receive Victorya 3 Star level 1, 20,000 Chip, 20 MSCI Memory and 10 Blind Bag""","""Hoàn thành giai đoạn 55 để nhận Victorya 3 Sao cấp 1, 20.000 Chip, 20 Thẻ nhớ MSCI và 10 Túi mù""","""Завершите этап 55, чтобы получить Викторию 3 звезды 1 уровня, 20 000 фишек, 20 памяти MSCI и 10 слепых мешков""","""完成第55阶段以获得Victorya 3星1级、20,000筹码、20个MSCI记忆卡和10个盲袋""","""ステージ55を完了してヴィクトリア3スターレベル1、20,000チップ、MSCIメモリーカード20個、ブラインドバッグ10個を受け取る""","""55단계를 완료하여 빅토리아 3성 레벨 1, 20,000 칩, MSCI 메모리 카드 20개 및 블라인드 백 10개를 받으세요""","""चरण 55 पूरा करें और विकटोरिया 3 स्टार स्तर 1, 20,000 चिप, 20 एमएससीआई मेमोरी कार्ड और 10 ब्लाइंड बैग प्राप्त करें""","""Abschluss von Stufe 55, um Victorya 3 Stern Level 1, 20.000 Chips, 20 MSCI-Speicherkarten und 10 Blind Bags zu erhalten"""
"""Stage 60 Milestone""","""Stage 60 Milestone""","""Cột mốc Giai đoạn 60""","""Этап 60: Веха""","""第60阶段里程碑""","""ステージ60のマイルストーン""","""60단계 이정표""","""चरण 60 माइलस्टोन""","""Stufe 60 Meilenstein"""
"""Complete stage 60 to receive Victorya 4 Star level 1, 20,000 Chip, 20 MSCI Memory, 10 Blind Bag and 6 Hero Gacha Ticket""","""Complete stage 60 to receive Victorya 4 Star level 1, 20,000 Chip, 20 MSCI Memory, 10 Blind Bag and 6 Hero Gacha Ticket""","""Hoàn thành giai đoạn 60 để nhận Victorya 4 Sao cấp 1, 20.000 Chip, 20 Thẻ nhớ MSCI, 10 Túi mù và 6 Vé Gacha Hero""","""Завершите этап 60, чтобы получить Викторию 4 звезды 1 уровня, 20 000 фишек, 20 памяти MSCI, 10 слепых мешков и 6 билетов на гачу Героя""","""完成第60阶段以获得Victorya 4星1级、20,000筹码、20个MSCI记忆卡、10个盲袋和6张英雄扭蛋券""","""ステージ60を完了してヴィクトリア4スターレベル1、20,000チップ、MSCIメモリーカード20個、ブラインドバッグ10個、ヒーローガチャチケット6枚を受け取る""","""60단계를 완료하여 빅토리아 4성 레벨 1, 20,000 칩, MSCI 메모리 카드 20개, 블라인드 백 10개 및 영웅 가챠 티켓 6장을 받으세요""","""चरण 60 पूरा करें और विकटोरिया 4 स्टार स्तर 1, 20,000 चिप, 20 एमएससीआई मेमोरी कार्ड, 10 ब्लाइंड बैग और 6 हीरो गाचा टिकट प्राप्त करें""","""Abschluss von Stufe 60, um Victorya 4 Stern Level 1, 20.000 Chips, 20 MSCI-Speicherkarten, 10 Blind Bags und 6 Helden-Gacha-Tickets zu erhalten"""
"""Stage 65 Milestone""","""Stage 65 Milestone""","""Cột mốc Giai đoạn 65""","""Этап 65: Веха""","""第65阶段里程碑""","""ステージ65のマイルストーン""","""65단계 이정표""","""चरण 65 माइлस्टोन""","""Stufe 65 Meilenstein"""
"""Complete stage 65 to receive A-rank Team (Alexandra, Anna, Victorya) 1 Star level 1, 50,000 Chip, 50 MSCI Memory and 20 Blind Bag""","""Complete stage 65 to receive A-rank Team (Alexandra, Anna, Victorya) 1 Star level 1, 50,000 Chip, 50 MSCI Memory and 20 Blind Bag""","""Hoàn thành giai đoạn 65 để nhận Đội A-rank (Alexandra, Anna, Victorya) 1 Sao cấp 1, 50.000 Chip, 50 Thẻ nhớ MSCI và 20 Túi mù""","""Завершите этап 65, чтобы получить команду ранга А (Александра, Анна, Виктория) 1 звезду 1 уровня, 50 000 фишек, 50 памяти MSCI и 20 слепых мешков""","""完成第65阶段以获得A级团队（Alexandra, Anna, Victorya）1星1级、50,000筹码、50个MSCI记忆卡和20个盲袋""","""ステージ65を完了してAランクチーム（アレクサンドラ、アンナ、ヴィクトリア）1スターレベル1、50,000チップ、MSCIメモリーカード50個、ブラインドバッグ20個を受け取る""","""65단계를 완료하여 A등급 팀(알렉산드라, 안나, 빅토리아) 1성 레벨 1, 50,000 칩, MSCI 메모리 카드 50개 및 블라인드 백 20개를 받으세요""","""चरण 65 पूरा करें और ए-रैंक टीम (एलेक्जेंड्रा, अन्ना, विकटोरिया) 1 स्टार स्तर 1, 50,000 चिप, 50 एमएससीआई मेमोरी कार्ड और 20 ब्लाइंड बैग प्राप्त करें""","""Abschluss von Stufe 65, um A-Rang-Team (Alexandra, Anna, Victorya) 1 Stern Level 1, 50.000 Chips, 50 MSCI-Speicherkarten und 20 Blind Bags zu erhalten"""
