key,en,vi,ru,cn,jp,kr,in,de
"""Confirm""","""Confirm""","""Xác nhận""","""Подтвердить""","""确认""","""確認""","""확인""","""पुष्टि करें""","""Bestätigen"""
"""Claim""","""Claim""","""Nhận""","""Получить""","""领取""","""受け取る""","""받기""","""दावा करें""","""Einsammeln"""
"""Quantity: ""","""Quantity: ""","""Số lượng: ""","""Количество: ""","""数量：""","""数量：""","""수량: ""","""मात्रा: ""","""Menge: """
"""Refining at: ""","""Refining at: ""","""Tinh luyện: ""","""Улучшение в: ""","""精炼于：""","""精錬中：""","""정제 중: ""","""संशोधन में: ""","""Verfeinerung um: """
"""Completed at: ""","""Completed at: ""","""Hoàn thành: ""","""Завершено в: ""","""完成时间：""","""完了時間：""","""완료 시간: ""","""पूर्ण हुआ: ""","""Abgeschlossen um: """
"""Created at: ""","""Created at: ""","""Chế tạo: ""","""Создано в: ""","""创建时间：""","""作成時間：""","""생성 시간: ""","""बनाया गया: ""","""Erstellt am: """
"""Upgrade at: ""","""Upgrade at: ""","""Nâng cấp: ""","""Обновление в: ""","""升级时间：""","""アップグレード時間：""","""업그레이드 시간: ""","""अपग्रेड किया: ""","""Upgrade um: """
"""View""","""View""","""Xem""","""Просмотр""","""查看""","""表示""","""보기""","""देखें""","""Ansehen"""
"""Days""","""Days""","""Ngày""","""Дни""","""天""","""日""","""일""","""दिन""","""Tage"""
"""Remaining Time: ""","""Remaining Time: ""","""Thời gian còn lại: ""","""Оставшееся время: ""","""剩余时间：""","""残り時間：""","""남은 시간: ""","""शेष समय: ""","""Verbleibende Zeit: """
"""Time to upgrade: ""","""Time to upgrade: ""","""Thời gian nâng cấp: ""","""Время до улучшения: ""","""升级时间：""","""アップグレード時間：""","""업그레이드 시간: ""","""अपग्रेड करने का समय: ""","""Zeit für Upgrade: """
"""You need to wait {i} to upgrade again""","""You need to wait {i} to upgrade again""","""Bạn cần chờ {i} để nâng cấp lại""","""Вы должны подождать {i}, чтобы улучшить снова""","""你需要等待 {i} 才能再次升级""","""再度アップグレードするには {i} 待つ必要があります""","""다시 업그레이드하려면 {i} 기다려야 합니다""","""आपको फिर से अपग्रेड करने के लिए {i} प्रतीक्षा करनी होगी""","""Sie müssen {i} warten, um erneut zu aktualisieren"""
"""You need {i} $MSCI to complete this upgrade""","""You need {i} $MSCI to complete this upgrade""","""Bạn cần {i} $MSCI để hoàn thành nâng cấp""","""Время до улучшения: ""","""升级时间：""","""アップグレード時間：""","""업그레이드 시간: ""","""अपग्रेड करने का समय: ""","""Zeit für Upgrade: """
"""You need at least 3 Neuralink to combine""","""You need at least 3 Neuralink to combine""","""Bạn cần ít nhất 3 Neuralink để kết hợp""","""Вам нужно минимум 3 Neuralink для объединения""","""您需要至少3个Neuralink才能合并""","""結合には少なくとも3つのNeuralinkが必要です""","""결합하려면 최소 3개의 Neuralink가 필요합니다""","""आपको कम से कम 3 Neuralink को जोड़ने के लिए चाहिए""","""Sie benötigen mindestens 3 Neuralink zum Kombinieren"""
"""neuralink_upgrade_note_key""","""Note: You have 24 hours from the expiration time to complete the upgrade process. If you fail to complete it within this period, you will lose all Neuralink and $MSCI assets that were entered into the upgrade process""","""Lưu ý: Bạn có 24 giờ kể từ thời gian hết hạn để hoàn thành quá trình nâng cấp. Nếu không hoàn thành trong khoảng thời gian này, bạn sẽ mất toàn bộ tài sản Neuralink và $MSCI đã được đưa vào quá trình nâng cấp.""","""Важно: У вас есть 24 часа с момента истечения срока для завершения процесса обновления. Если вы не завершите его в этот период, вы потеряете все активы Neuralink и $MSCI, которые были введены в процесс обновления.""","""注意：从到期时间起，您有24小时完成升级过程。如果未能在此期间完成，您将失去所有已进入升级流程的Neuralink和$MSCI资产。""","""注意：有効期限から24時間以内にアップグレードプロセスを完了する必要があります。この期間内に完了しなかった場合、アップグレードプロセスに投入されたすべてのNeuralinkおよび$MSCI資産を失います。""","""참고: 만료 시간으로부터 업그레이드 프로세스를 완료할 수 있는 기간은 24시간입니다. 이 기간 내에 완료하지 못할 경우 업그레이드 프로세스에 포함된 모든 Neuralink 및 $MSCI 자산을 잃게 됩니다.""","""ध्यान दें: आपके पास समाप्ति समय से 24 घंटे का समय है अपग्रेड प्रक्रिया पूरी करने के लिए। यदि आप इस समयावधि के भीतर इसे पूरा नहीं करते हैं, तो आप उन सभी Neuralink और $MSCI संपत्तियों को खो देंगे जो अपग्रेड प्रक्रिया में शामिल की गई थीं।""","""Hinweis: Sie haben 24 Stunden ab dem Ablaufdatum Zeit, den Aktualisierungsprozess abzuschließen. Wenn Sie dies nicht innerhalb dieses Zeitraums tun, verlieren Sie alle Neuralink- und $MSCI-Vermögenswerte, die in den Aktualisierungsprozess eingegeben wurden."""
